"Notes","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","< 1 year","1","1999","1999",32,1852123,1.7,1.2,2.4,0.3,0.0%
,"Female","F","< 1 year","1","2000","2000",42,1856631,2.3,1.6,3.1,0.3,0.0%
,"Female","F","< 1 year","1","2001","2001",35,1962905,1.8,1.2,2.5,0.3,0.0%
,"Female","F","< 1 year","1","2002","2002",32,1932939,1.7,1.1,2.3,0.3,0.0%
,"Female","F","< 1 year","1","2003","2003",41,1942634,2.1,1.5,2.9,0.3,0.0%
,"Female","F","< 1 year","1","2004","2004",37,1962216,1.9,1.3,2.6,0.3,0.0%
,"Female","F","< 1 year","1","2005","2005",30,1956682,1.5,1.0,2.2,0.3,0.0%
,"Female","F","< 1 year","1","2006","2006",37,1975919,1.9,1.3,2.6,0.3,0.0%
,"Female","F","< 1 year","1","2007","2007",33,2027181,1.6,1.1,2.3,0.3,0.0%
,"Female","F","< 1 year","1","2008","2008",22,2022889,1.1,0.7,1.6,0.2,0.0%
,"Female","F","< 1 year","1","2009","2009",30,1959169,1.5,1.0,2.2,0.3,0.0%
,"Female","F","< 1 year","1","2010","2010",31,1929877,1.6,1.1,2.3,0.3,0.0%
,"Female","F","< 1 year","1","2011","2011",31,1952827,1.6,1.1,2.3,0.3,0.0%
,"Female","F","< 1 year","1","2012","2012",29,1926339,1.5,1.0,2.2,0.3,0.0%
,"Female","F","< 1 year","1","2013","2013",34,1925056,1.8,1.2,2.5,0.3,0.0%
,"Female","F","< 1 year","1","2014","2014",30,1930493,1.6,1.0,2.2,0.3,0.0%
,"Female","F","< 1 year","1","2015","2015",22,1942904,1.1,0.7,1.7,0.2,0.0%
,"Female","F","< 1 year","1","2016","2016",31,1939667,1.6,1.1,2.3,0.3,0.0%
,"Female","F","< 1 year","1","2017","2017",32,1924145,1.7,1.1,2.3,0.3,0.0%
,"Female","F","< 1 year","1","2018","2018",24,1879703,1.3,0.8,1.9,0.3,0.0%
,"Female","F","< 1 year","1","2019","2019",23,1847935,1.2,0.8,1.9,0.3,0.0%
,"Female","F","< 1 year","1","2020","2020",32,1826869,1.8,1.2,2.5,0.3,0.0%
"Total","Female","F","< 1 year","1",,,690,42477103,1.6,1.5,1.7,0.1,0.0%
,"Female","F","1-4 years","1-4","1999","1999",191,7493614,2.5,2.2,2.9,0.2,0.0%
,"Female","F","1-4 years","1-4","2000","2000",187,7508434,2.5,2.1,2.8,0.2,0.0%
,"Female","F","1-4 years","1-4","2001","2001",191,7468536,2.6,2.2,2.9,0.2,0.0%
,"Female","F","1-4 years","1-4","2002","2002",186,7564711,2.5,2.1,2.8,0.2,0.0%
,"Female","F","1-4 years","1-4","2003","2003",165,7636693,2.2,1.8,2.5,0.2,0.0%
,"Female","F","1-4 years","1-4","2004","2004",187,7713175,2.4,2.1,2.8,0.2,0.0%
,"Female","F","1-4 years","1-4","2005","2005",160,7785123,2.1,1.7,2.4,0.2,0.0%
,"Female","F","1-4 years","1-4","2006","2006",170,7775092,2.2,1.9,2.5,0.2,0.0%
,"Female","F","1-4 years","1-4","2007","2007",173,7813088,2.2,1.9,2.5,0.2,0.0%
,"Female","F","1-4 years","1-4","2008","2008",176,7891294,2.2,1.9,2.6,0.2,0.0%
,"Female","F","1-4 years","1-4","2009","2009",170,7943260,2.1,1.8,2.5,0.2,0.0%
,"Female","F","1-4 years","1-4","2010","2010",149,7952058,1.9,1.6,2.2,0.2,0.0%
,"Female","F","1-4 years","1-4","2011","2011",170,7909731,2.1,1.8,2.5,0.2,0.0%
,"Female","F","1-4 years","1-4","2012","2012",174,7856870,2.2,1.9,2.5,0.2,0.0%
,"Female","F","1-4 years","1-4","2013","2013",145,7790614,1.9,1.6,2.2,0.2,0.0%
,"Female","F","1-4 years","1-4","2014","2014",139,7790662,1.8,1.5,2.1,0.2,0.0%
,"Female","F","1-4 years","1-4","2015","2015",158,7786776,2.0,1.7,2.3,0.2,0.0%
,"Female","F","1-4 years","1-4","2016","2016",171,7800517,2.2,1.9,2.5,0.2,0.0%
,"Female","F","1-4 years","1-4","2017","2017",141,7818747,1.8,1.5,2.1,0.2,0.0%
,"Female","F","1-4 years","1-4","2018","2018",143,7798370,1.8,1.5,2.1,0.2,0.0%
,"Female","F","1-4 years","1-4","2019","2019",135,7719541,1.7,1.5,2.0,0.2,0.0%
,"Female","F","1-4 years","1-4","2020","2020",148,7613266,1.9,1.6,2.3,0.2,0.0%
"Total","Female","F","1-4 years","1-4",,,3629,170430172,2.1,2.1,2.2,0.0,0.0%
,"Female","F","5-14 years","5-14","1999","1999",457,19908282,2.3,2.1,2.5,0.1,0.0%
,"Female","F","5-14 years","5-14","2000","2000",445,20034103,2.2,2.0,2.4,0.1,0.0%
,"Female","F","5-14 years","5-14","2001","2001",475,20075767,2.4,2.2,2.6,0.1,0.0%
,"Female","F","5-14 years","5-14","2002","2002",472,20071157,2.4,2.1,2.6,0.1,0.0%
,"Female","F","5-14 years","5-14","2003","2003",485,20026122,2.4,2.2,2.6,0.1,0.0%
,"Female","F","5-14 years","5-14","2004","2004",447,19946937,2.2,2.0,2.4,0.1,0.0%
,"Female","F","5-14 years","5-14","2005","2005",443,19822282,2.2,2.0,2.4,0.1,0.0%
,"Female","F","5-14 years","5-14","2006","2006",400,19817117,2.0,1.8,2.2,0.1,0.0%
,"Female","F","5-14 years","5-14","2007","2007",460,19810765,2.3,2.1,2.5,0.1,0.0%
,"Female","F","5-14 years","5-14","2008","2008",436,19856962,2.2,2.0,2.4,0.1,0.0%
,"Female","F","5-14 years","5-14","2009","2009",408,19963476,2.0,1.8,2.2,0.1,0.0%
,"Female","F","5-14 years","5-14","2010","2010",434,20056351,2.2,2.0,2.4,0.1,0.0%
,"Female","F","5-14 years","5-14","2011","2011",377,20067831,1.9,1.7,2.1,0.1,0.0%
,"Female","F","5-14 years","5-14","2012","2012",399,20118347,2.0,1.8,2.2,0.1,0.0%
,"Female","F","5-14 years","5-14","2013","2013",424,20159538,2.1,1.9,2.3,0.1,0.0%
,"Female","F","5-14 years","5-14","2014","2014",364,20161424,1.8,1.6,2.0,0.1,0.0%
,"Female","F","5-14 years","5-14","2015","2015",396,20129986,2.0,1.8,2.2,0.1,0.0%
,"Female","F","5-14 years","5-14","2016","2016",390,20099377,1.9,1.7,2.1,0.1,0.0%
,"Female","F","5-14 years","5-14","2017","2017",400,20109479,2.0,1.8,2.2,0.1,0.0%
,"Female","F","5-14 years","5-14","2018","2018",395,20100339,2.0,1.8,2.2,0.1,0.0%
,"Female","F","5-14 years","5-14","2019","2019",361,20053140,1.8,1.6,2.0,0.1,0.0%
,"Female","F","5-14 years","5-14","2020","2020",370,20050413,1.8,1.7,2.0,0.1,0.0%
"Total","Female","F","5-14 years","5-14",,,9238,440439195,2.1,2.1,2.1,0.0,0.1%
,"Female","F","15-24 years","15-24","1999","1999",701,18860184,3.7,3.4,4.0,0.1,0.0%
,"Female","F","15-24 years","15-24","2000","2000",691,19105073,3.6,3.3,3.9,0.1,0.0%
,"Female","F","15-24 years","15-24","2001","2001",680,19585847,3.5,3.2,3.7,0.1,0.0%
,"Female","F","15-24 years","15-24","2002","2002",714,19898124,3.6,3.3,3.9,0.1,0.0%
,"Female","F","15-24 years","15-24","2003","2003",672,20180290,3.3,3.1,3.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2004","2004",682,20433434,3.3,3.1,3.6,0.1,0.0%
,"Female","F","15-24 years","15-24","2005","2005",682,20657595,3.3,3.1,3.5,0.1,0.0%
,"Female","F","15-24 years","15-24","2006","2006",637,20836077,3.1,2.8,3.3,0.1,0.0%
,"Female","F","15-24 years","15-24","2007","2007",666,21001489,3.2,2.9,3.4,0.1,0.0%
,"Female","F","15-24 years","15-24","2008","2008",642,21144714,3.0,2.8,3.3,0.1,0.0%
,"Female","F","15-24 years","15-24","2009","2009",643,21263984,3.0,2.8,3.3,0.1,0.0%
,"Female","F","15-24 years","15-24","2010","2010",607,21308500,2.8,2.6,3.1,0.1,0.0%
,"Female","F","15-24 years","15-24","2011","2011",645,21366229,3.0,2.8,3.3,0.1,0.0%
,"Female","F","15-24 years","15-24","2012","2012",650,21431588,3.0,2.8,3.3,0.1,0.0%
,"Female","F","15-24 years","15-24","2013","2013",637,21429247,3.0,2.7,3.2,0.1,0.0%
,"Female","F","15-24 years","15-24","2014","2014",617,21456371,2.9,2.6,3.1,0.1,0.0%
,"Female","F","15-24 years","15-24","2015","2015",589,21382495,2.8,2.5,3.0,0.1,0.0%
,"Female","F","15-24 years","15-24","2016","2016",529,21218116,2.5,2.3,2.7,0.1,0.0%
,"Female","F","15-24 years","15-24","2017","2017",541,21100662,2.6,2.3,2.8,0.1,0.0%
,"Female","F","15-24 years","15-24","2018","2018",516,20994345,2.5,2.2,2.7,0.1,0.0%
,"Female","F","15-24 years","15-24","2019","2019",561,20877151,2.7,2.5,2.9,0.1,0.0%
,"Female","F","15-24 years","15-24","2020","2020",532,20828241,2.6,2.3,2.8,0.1,0.0%
"Total","Female","F","15-24 years","15-24",,,13834,456359756,3.0,3.0,3.1,0.0,0.1%
,"Female","F","25-34 years","25-34","1999","1999",2046,19945090,10.3,9.8,10.7,0.2,0.0%
,"Female","F","25-34 years","25-34","2000","2000",2062,19771195,10.4,10.0,10.9,0.2,0.0%
,"Female","F","25-34 years","25-34","2001","2001",2134,19567043,10.9,10.4,11.4,0.2,0.0%
,"Female","F","25-34 years","25-34","2002","2002",2004,19518779,10.3,9.8,10.7,0.2,0.0%
,"Female","F","25-34 years","25-34","2003","2003",1937,19500922,9.9,9.5,10.4,0.2,0.0%
,"Female","F","25-34 years","25-34","2004","2004",1883,19520225,9.6,9.2,10.1,0.2,0.0%
,"Female","F","25-34 years","25-34","2005","2005",1796,19547698,9.2,8.8,9.6,0.2,0.0%
,"Female","F","25-34 years","25-34","2006","2006",1886,19626340,9.6,9.2,10.0,0.2,0.0%
,"Female","F","25-34 years","25-34","2007","2007",1771,19788593,8.9,8.5,9.4,0.2,0.0%
,"Female","F","25-34 years","25-34","2008","2008",1751,20019411,8.7,8.3,9.2,0.2,0.0%
,"Female","F","25-34 years","25-34","2009","2009",1852,20267430,9.1,8.7,9.6,0.2,0.0%
,"Female","F","25-34 years","25-34","2010","2010",1835,20431857,9.0,8.6,9.4,0.2,0.0%
,"Female","F","25-34 years","25-34","2011","2011",1786,20746335,8.6,8.2,9.0,0.2,0.0%
,"Female","F","25-34 years","25-34","2012","2012",1872,20970529,8.9,8.5,9.3,0.2,0.0%
,"Female","F","25-34 years","25-34","2013","2013",1816,21203096,8.6,8.2,9.0,0.2,0.0%
,"Female","F","25-34 years","25-34","2014","2014",1830,21546290,8.5,8.1,8.9,0.2,0.0%
,"Female","F","25-34 years","25-34","2015","2015",1886,21838064,8.6,8.2,9.0,0.2,0.0%
,"Female","F","25-34 years","25-34","2016","2016",1966,22077505,8.9,8.5,9.3,0.2,0.0%
,"Female","F","25-34 years","25-34","2017","2017",1926,22351311,8.6,8.2,9.0,0.2,0.0%
,"Female","F","25-34 years","25-34","2018","2018",1946,22487065,8.7,8.3,9.0,0.2,0.0%
,"Female","F","25-34 years","25-34","2019","2019",1833,22581141,8.1,7.7,8.5,0.2,0.0%
,"Female","F","25-34 years","25-34","2020","2020",1866,22625267,8.2,7.9,8.6,0.2,0.0%
"Total","Female","F","25-34 years","25-34",,,41684,455931186,9.1,9.1,9.2,0.0,0.3%
,"Female","F","35-44 years","35-44","1999","1999",9261,22669604,40.9,40.0,41.7,0.4,0.1%
,"Female","F","35-44 years","35-44","2000","2000",9176,22700729,40.4,39.6,41.2,0.4,0.1%
,"Female","F","35-44 years","35-44","2001","2001",9272,22642429,40.9,40.1,41.8,0.4,0.1%
,"Female","F","35-44 years","35-44","2002","2002",9029,22439455,40.2,39.4,41.1,0.4,0.1%
,"Female","F","35-44 years","35-44","2003","2003",8684,22206703,39.1,38.3,39.9,0.4,0.1%
,"Female","F","35-44 years","35-44","2004","2004",8315,22015734,37.8,37.0,38.6,0.4,0.1%
,"Female","F","35-44 years","35-44","2005","2005",8228,21865343,37.6,36.8,38.4,0.4,0.1%
,"Female","F","35-44 years","35-44","2006","2006",7938,21727611,36.5,35.7,37.3,0.4,0.1%
,"Female","F","35-44 years","35-44","2007","2007",7587,21502002,35.3,34.5,36.1,0.4,0.1%
,"Female","F","35-44 years","35-44","2008","2008",7207,21195733,34.0,33.2,34.8,0.4,0.1%
,"Female","F","35-44 years","35-44","2009","2009",7121,20841610,34.2,33.4,35.0,0.4,0.1%
,"Female","F","35-44 years","35-44","2010","2010",6663,20634607,32.3,31.5,33.1,0.4,0.1%
,"Female","F","35-44 years","35-44","2011","2011",6683,20404484,32.8,32.0,33.5,0.4,0.1%
,"Female","F","35-44 years","35-44","2012","2012",6488,20342813,31.9,31.1,32.7,0.4,0.1%
,"Female","F","35-44 years","35-44","2013","2013",6522,20307429,32.1,31.3,32.9,0.4,0.1%
,"Female","F","35-44 years","35-44","2014","2014",6438,20353904,31.6,30.9,32.4,0.4,0.1%
,"Female","F","35-44 years","35-44","2015","2015",6253,20386206,30.7,29.9,31.4,0.4,0.0%
,"Female","F","35-44 years","35-44","2016","2016",6278,20317393,30.9,30.1,31.7,0.4,0.0%
,"Female","F","35-44 years","35-44","2017","2017",6175,20506270,30.1,29.4,30.9,0.4,0.0%
,"Female","F","35-44 years","35-44","2018","2018",6084,20690288,29.4,28.7,30.1,0.4,0.0%
,"Female","F","35-44 years","35-44","2019","2019",6174,20867064,29.6,28.8,30.3,0.4,0.0%
,"Female","F","35-44 years","35-44","2020","2020",6023,21090324,28.6,27.8,29.3,0.4,0.0%
"Total","Female","F","35-44 years","35-44",,,161599,467707735,34.6,34.4,34.7,0.1,1.3%
,"Female","F","45-54 years","45-54","1999","1999",23047,18632305,123.7,122.1,125.3,0.8,0.2%
,"Female","F","45-54 years","45-54","2000","2000",23819,19180722,124.2,122.6,125.8,0.8,0.2%
,"Female","F","45-54 years","45-54","2001","2001",24491,20047081,122.2,120.6,123.7,0.8,0.2%
,"Female","F","45-54 years","45-54","2002","2002",24445,20357603,120.1,118.6,121.6,0.8,0.2%
,"Female","F","45-54 years","45-54","2003","2003",24301,20776919,117.0,115.5,118.4,0.8,0.2%
,"Female","F","45-54 years","45-54","2004","2004",24088,21184129,113.7,112.3,115.1,0.7,0.2%
,"Female","F","45-54 years","45-54","2005","2005",25002,21614529,115.7,114.2,117.1,0.7,0.2%
